"state_abbr","state_fips","county_name","county_fips"
"GA","13","Bulloch","031"
"GA","13","Fulton","121"
"GA","13","Liberty","179"
"GA","13","McDuffie","189"
"GA","13","Murray","213"
"GA","13","Montgomery","209"
"GA","13","Hall","139"
"GA","13","Richmond","245"
"GA","13","Charlton","049"
"GA","13","Hancock","141"
"GA","13","Jackson","157"
"GA","13","Wilcox","315"
"GA","13","Rabun","241"
"GA","13","Taylor","269"
"GA","13","Lee","177"
"GA","13","Toombs","279"
"GA","13","Baker","007"
"NJ","34","Gloucester","015"
"NJ","34","Middlesex","023"
"NJ","34","Somerset","035"
"NJ","34","Passaic","031"
"NJ","34","Mercer","021"
"NJ","34","Cape May","009"
"NM","35","McKinley","031"
"NM","35","Doña Ana","013"
"MS","28","Jackson","059"
"AK","02","Matanuska-Susitna","170"
"NM","35","Mora","033"
"WA","53","Thurston","067"
"VA","51","Prince Edward","147"
"AL","01","Blount","009"
"AL","01","Marshall","095"
"VA","51","Buckingham","029"
"VA","51","Page","139"
"WA","53","Douglas","017"
"VA","51","Prince William","153"
"VA","51","Shenandoah","171"
"AL","01","Cullman","043"
"VA","51","Fauquier","061"
"WA","53","Franklin","021"
"WA","53","Ferry","019"
"WA","53","Island","029"
"WA","53","Whitman","075"
"NH","33","Strafford","017"
"NE","31","Howard","093"
"NE","31","Loup","115"
"VA","51","Accomack","001"
"KY","21","Henderson","101"
"KY","21","Hardin","093"
"VA","51","Middlesex","119"
"LA","22","Plaquemines","075"
"LA","22","Tensas","107"
"VA","51","Westmoreland","193"
"LA","22","Webster","119"
"ME","23","Waldo","027"
"VA","51","Highland","091"
"KY","21","Bell","013"
"KY","21","Leslie","131"
"VA","51","Halifax","083"
"ME","23","Sagadahoc","023"
"KY","21","Whitley","235"
"MD","24","Talbot","041"
"MD","24","Prince George's","033"
"MD","24","Queen Anne's","035"
"MD","24","Garrett","023"
"VA","51","Rockingham","165"
"NC","37","Halifax","083"
"NC","37","Union","179"
"NC","37","New Hanover","129"
"NC","37","Sampson","163"
"NC","37","Carteret","031"
"NC","37","Wake","183"
"NC","37","Mecklenburg","119"
"NC","37","Haywood","087"
"NC","37","Pender","141"
"NC","37","Buncombe","021"
"NC","37","Columbus","047"
"NC","37","Cherokee","039"
"NC","37","Surry","171"
"NC","37","Hoke","093"
"NC","37","Lee","105"
"NC","37","Swain","173"
"NC","37","Bertie","015"
"NC","37","Transylvania","175"
"IN","18","Knox","083"
"IN","18","Whitley","183"
"IN","18","Lake","089"
"IN","18","Gibson","051"
"IN","18","Jackson","071"
"IN","18","Harrison","061"
"KY","21","Floyd","071"
"KS","20","Mitchell","123"
"KY","21","Carter","043"
"KY","21","Grayson","085"
"KY","21","Bath","011"
"KY","21","Hart","099"
"KS","20","Pottawatomie","149"
"KY","21","Owsley","189"
"KY","21","Allen","003"
"KY","21","Jackson","109"
"KY","21","Rowan","205"
"KY","21","McCreary","147"
"KY","21","Butler","031"
"KS","20","Wichita","203"
"IL","17","Cook","031"
"IL","17","Clinton","027"
"IL","17","Jasper","079"
"IL","17","Scott","171"
"IL","17","Wabash","185"
"IL","17","Edwards","047"
"OH","39","Erie","043"
"CA","06","Alameda","001"
"CA","06","San Mateo","081"
"CA","06","Riverside","065"
"CA","06","Solano","095"
"CA","06","Tehama","103"
"CA","06","Ventura","111"
"CA","06","Santa Barbara","083"
"NY","36","Queens","081"
"CA","06","Siskiyou","093"
"CA","06","Yuba","115"
"CA","06","Lake","033"
"CA","06","Placer","061"
"CA","06","Amador","005"
"CA","06","Mariposa","043"
"CO","08","Delta","029"
"FL","12","Sumter","119"
"FL","12","Lake","069"
"CO","08","Larimer","069"
"CT","09","New Haven","009"
"CT","09","Middlesex","007"
"FL","12","Madison","079"
"FL","12","Volusia","127"
"FL","12","Palm Beach","099"
"FL","12","Santa Rosa","113"
"FL","12","Union","125"
"FL","12","Okeechobee","093"
"CO","08","Montezuma","083"
"PA","42","Clearfield","033"
"PA","42","Washington","125"
"PA","42","Clarion","031"
"PA","42","Northumberland","097"
"PA","42","Huntingdon","061"
"WI","55","Price","099"
"WI","55","Trempealeau","121"
"WI","55","Marinette","075"
"WI","55","Adams","001"
"MT","30","Liberty","051"
"MT","30","Blaine","005"
"MT","30","Powell","077"
"MT","30","Madison","057"
"MT","30","Big Horn","003"
"MT","30","Pondera","073"
"MT","30","Judith Basin","045"
"MT","30","Carbon","009"
"MT","30","Roosevelt","085"
"MT","30","Petroleum","069"
"UT","49","Salt Lake","035"
"UT","49","Davis","011"
"AL","01","Mobile","097"
"UT","49","Kane","025"
"AL","01","Colbert","033"
"AL","01","Crenshaw","041"
"AL","01","Hale","065"
"AL","01","Pike","109"
"NY","36","Cayuga","011"
"NY","36","Delaware","025"
"NY","36","Washington","115"
"TX","48","Bexar","029"
"TX","48","Smith","423"
"TX","48","Harris","201"
"TX","48","Walker","471"
"TX","48","Kaufman","257"
"TX","48","Hopkins","223"
"TX","48","Matagorda","321"
"TX","48","Waller","473"
"TX","48","Hidalgo","215"
"TX","48","Maverick","323"
"TX","48","Guadalupe","187"
"TX","48","Morris","343"
"TX","48","Reeves","389"
"TX","48","Chambers","071"
"TX","48","Newton","351"
"TX","48","Calhoun","057"
"TX","48","Trinity","455"
"OK","40","Canadian","017"
"OK","40","Sequoyah","135"
"OK","40","Pawnee","117"
"OK","40","Muskogee","101"
"OK","40","Pushmataha","127"
"OK","40","Kiowa","075"
"OR","41","Grant","023"
"OR","41","Union","061"
"OR","41","Clatsop","007"
"OR","41","Benton","003"
"OR","41","Curry","015"
"AL","01","Wilcox","131"
"AL","01","Lawrence","079"
"AL","01","Conecuh","035"
"AR","05","Jackson","067"
"AR","05","Arkansas","001"
"AR","05","Bradley","011"
"AR","05","Cleveland","025"
"AR","05","Nevada","099"
"TX","48","Kleberg","273"
"TX","48","Gray","179"
"TX","48","Hansford","195"
"TX","48","Rains","379"
"TX","48","Lamar","277"
"SC","45","Lexington","063"
"SC","45","Horry","051"
"SC","45","Beaufort","013"
"SC","45","Greenville","045"
"SC","45","Marlboro","069"
"SC","45","Cherokee","021"
"SC","45","Anderson","007"
"SC","45","Union","087"
"SC","45","Clarendon","027"
"SC","45","Lee","061"
"SC","45","Fairfield","039"
"SC","45","Calhoun","017"
"SC","45","Georgetown","043"
"KY","21","Nicholas","181"
"LA","22","St. Tammany","103"
"TN","47","Davidson","037"
"TN","47","Dyer","045"
"TN","47","Morgan","129"
"SD","46","Charles Mix","023"
"TN","47","Sullivan","163"
"TN","47","Giles","055"
"TN","47","McMinn","107"
"TN","47","Coffee","031"
"SD","46","Haakon","055"
"TN","47","Union","173"
"TN","47","Wilson","189"
"SD","46","Lake","079"
"KS","20","Pratt","151"
"TN","47","Lauderdale","097"
"TN","47","Henry","079"
"WY","56","Teton","039"
"WY","56","Park","029"
"WV","54","Lincoln","043"
"WV","54","Barbour","001"
"WV","54","Jefferson","037"
"WV","54","Marion","049"
"WV","54","Wyoming","109"
"WV","54","Boone","005"
"ID","16","Bannock","005"
"AZ","04","Apache","001"
"FL","12","Gulf","045"
"FL","12","Taylor","123"
"MO","29","Scott","201"
"MO","29","Dunklin","069"
"MO","29","Mercer","129"
"MO","29","Cape Girardeau","031"
"MA","25","Worcester","027"
"MI","26","Wayne","163"
"MI","26","Berrien","021"
"MI","26","Kalamazoo","077"
"MI","26","Chippewa","033"
"MI","26","Iron","071"
"NC","37","Dare","055"
"TX","48","Terrell","443"
"TX","48","Hartley","205"
"PR","72","Ponce","113"
"PR","72","Mayagüez","097"
"PR","72","Ceiba","037"
"AS","60","Rose Island","030"
"AZ","04","Maricopa","013"
"HI","15","Hawaii","001"
"MN","27","Wilkin","167"
"MN","27","Rock","133"
"MN","27","Polk","119"
"MN","27","Kittson","069"
"MN","27","Red Lake","125"
"MN","27","Chippewa","023"
"MI","26","Mackinac","097"
"ND","38","Pembina","067"
"TX","48","San Augustine","405"
"TX","48","Delta","119"
"LA","22","Calcasieu","019"
"LA","22","Ascension","005"
"LA","22","Orleans","071"
"LA","22","Vermilion","113"
"LA","22","Grant","043"
"ND","38","Benson","005"
"ND","38","Traill","097"
"ND","38","Towner","095"
"ND","38","Grant","037"
"MS","28","Marshall","093"
"MS","28","Adams","001"
"MS","28","Rankin","121"
"MS","28","Tunica","143"
"MS","28","Monroe","095"
"MS","28","George","039"
"MS","28","Lowndes","087"
"MS","28","Yazoo","163"
"MS","28","Humphreys","053"
"ID","16","Lewis","061"
"ID","16","Shoshone","079"
"ID","16","Power","077"
"AK","02","Anchorage","020"
"MA","25","Franklin","011"
"VA","51","Montgomery","121"
"VA","51","Goochland","075"
"VA","51","Isle of Wight","093"
"VA","51","Orange","137"
"VA","51","Botetourt","023"
"VA","51","Amherst","009"
"VA","51","Amelia","007"
"VA","51","King and Queen","097"
"VA","51","Greensville","081"
"AK","02","Copper River","066"
"AK","02","Southeast Fairbanks","240"
"AK","02","Petersburg","195"
"AK","02","Wrangell","275"
"AK","02","Lake and Peninsula","164"
"AK","02","Juneau","110"
"AK","02","Yakutat","282"
"NV","32","Eureka","011"
"MO","29","Schuyler","197"
"TX","48","Loving","301"
"TX","48","Foard","155"
"NE","31","Boyd","015"
"VI","78","St. Croix","010"
"VI","78","St. John","020"
"ME","23","Piscataquis","021"
"ID","16","Camas","025"
"CO","08","Routt","107"
"CO","08","Pitkin","097"
"CO","08","Summit","117"
"CO","08","Hinsdale","053"
"CO","08","Costilla","023"
"CO","08","Lake","065"
"CO","08","Jackson","057"
"GA","13","Columbia","073"
"GA","13","Mitchell","205"
"NJ","34","Camden","007"
"NJ","34","Morris","027"
"NJ","34","Hudson","017"
"NJ","34","Atlantic","001"
"NJ","34","Monmouth","025"
"NJ","34","Cumberland","011"
"NJ","34","Hunterdon","019"
"NM","35","San Juan","045"
"NM","35","Grant","017"
"NM","35","Colfax","007"
"NM","35","Sierra","051"
"NM","35","Taos","055"
"AL","01","Madison","089"
"AL","01","Shelby","117"
"AL","01","Talladega","121"
"AL","01","Jefferson","073"
"WA","53","Grays Harbor","027"
"WA","53","Pacific","049"
"AL","01","Etowah","055"
"WA","53","Clark","011"
"WA","53","Whatcom","073"
"VA","51","Loudoun","107"
"GA","13","Wilkinson","319"
"GA","13","Bibb","021"
"GA","13","Haralson","143"
"GA","13","Henry","151"
"GA","13","Muscogee","215"
"GA","13","Fayette","113"
"GA","13","Brantley","025"
"GA","13","Warren","301"
"GA","13","Gilmer","123"
"GA","13","Long","183"
"GA","13","Tift","277"
"GA","13","Union","291"
"GA","13","Talbot","263"
"GA","13","Taliaferro","265"
"NC","37","Franklin","069"
"NC","37","Montgomery","123"
"NC","37","Yancey","199"
"NC","37","Robeson","155"
"NC","37","Stanly","167"
"NC","37","Rutherford","161"
"NC","37","Edgecombe","065"
"NC","37","Chowan","041"
"NC","37","Polk","149"
"NC","37","Macon","113"
"NC","37","Anson","007"
"NC","37","Burke","023"
"NC","37","Mitchell","121"
"IA","19","Grundy","075"
"IA","19","Plymouth","149"
"IA","19","Lucas","117"
"IA","19","Calhoun","025"
"IA","19","Lee","111"
"IN","18","Orange","117"
"IA","19","Scott","163"
"IA","19","Mitchell","131"
"IN","18","Pike","125"
"IN","18","Daviess","027"
"IN","18","Perry","123"
"KS","20","Doniphan","043"
"KS","20","Pawnee","145"
"KY","21","Scott","209"
"KY","21","Hopkins","107"
"KY","21","Bourbon","017"
"KY","21","Garrard","079"
"KY","21","Clark","049"
"KY","21","Clay","051"
"KS","20","Meade","119"
"KY","21","Woodford","239"
"KS","20","Greeley","071"
"KY","21","Anderson","005"
"KY","21","Menifee","165"
"IL","17","St. Clair","163"
"IL","17","Kane","089"
"IL","17","Sangamon","167"
"IL","17","Cass","017"
"IL","17","Rock Island","161"
"IL","17","Stephenson","177"
"IL","17","McDonough","109"
"IL","17","Menard","129"
"IL","17","Mason","125"
"OH","39","Lorain","093"
"OH","39","Hamilton","061"
"OH","39","Ashtabula","007"
"OH","39","Washington","167"
"OH","39","Ottawa","123"
"OH","39","Jackson","079"
"CA","06","Los Angeles","037"
"CA","06","Santa Cruz","087"
"CA","06","Madera","039"
"CA","06","Fresno","019"
"CA","06","Sonoma","097"
"CA","06","Stanislaus","099"
"CA","06","Tulare","107"
"CA","06","Contra Costa","013"
"CA","06","Merced","047"
"NY","36","Kings","047"
"NY","36","Bronx","005"
"CA","06","Trinity","105"
"NY","36","Westchester","119"
"NY","36","Orange","071"
"CA","06","Imperial","025"
"VA","51","Bedford","019"
"AL","01","Autauga","001"
"WA","53","Clallam","009"
"WA","53","Walla Walla","071"
"VA","51","Henry","089"
"WA","53","Chelan","007"
"WA","53","Grant","025"
"WA","53","Skagit","057"
"WA","53","Kittitas","037"
"AL","01","Pickens","107"
"WA","53","Lincoln","043"
"NH","33","Rockingham","015"
"NH","33","Coos","007"
"NV","32","Washoe","031"
"NE","31","Garfield","071"
"NE","31","Saunders","155"
"NE","31","Holt","089"
"NE","31","Wheeler","183"
"MD","24","Somerset","039"
"MD","24","St. Mary's","037"
"KY","21","Jefferson","111"
"LA","22","Jefferson","051"
"VA","51","Richmond","159"
"VA","51","Northumberland","133"
"VA","51","Essex","057"
"KY","21","Lewis","135"
"LA","22","De Soto","031"
"LA","22","Concordia","029"
"LA","22","Union","111"
"KY","21","Ballard","007"
"VA","51","Lancaster","103"
"KY","21","Letcher","133"
"ME","23","Aroostook","003"
"KY","21","Knox","121"
"KY","21","Mercer","167"
"KY","21","Nelson","179"
"KY","21","Laurel","125"
"KY","21","Harrison","097"
"KY","21","Bullitt","029"
"VA","51","Pittsylvania","143"
"KY","21","Taylor","217"
"VA","51","King George","099"
"KY","21","Martin","159"
"KY","21","Larue","123"
"LA","22","Terrebonne","109"
"MD","24","Allegany","001"
"MD","24","Anne Arundel","003"
"MD","24","Kent","029"
"MD","24","Carroll","013"
"MA","25","Essex","009"
"MA","25","Hampden","013"
"MD","24","Worcester","047"
"MA","25","Suffolk","025"
"NC","37","Nash","127"
"NC","37","Jackson","099"
"NC","37","Madison","115"
"NC","37","Greene","079"
"NC","37","Pitt","147"
"PA","42","Philadelphia","101"
"PA","42","Erie","049"
"PA","42","Montgomery","091"
"PA","42","Luzerne","079"
"PA","42","Northampton","095"
"PA","42","Dauphin","043"
"PA","42","Lancaster","071"
"PA","42","Blair","013"
"PA","42","Clinton","035"
"PA","42","Franklin","055"
"PA","42","Juniata","067"
"RI","44","Providence","007"
"PA","42","Fayette","051"
"RI","44","Washington","009"
"WI","55","Kewaunee","061"
"WI","55","Buffalo","011"
"TX","48","Henderson","213"
"TX","48","Bowie","037"
"TX","48","Milam","331"
"TX","48","Marion","315"
"TX","48","Coke","081"
"TX","48","Ward","475"
"TX","48","Frio","163"
"TX","48","Madison","313"
"TX","48","Coleman","083"
"TX","48","Leon","289"
"TX","48","Angelina","005"
"OK","40","Tulsa","143"
"OK","40","McCurtain","089"
"OK","40","Osage","113"
"OK","40","McClain","087"
"OK","40","Tillman","141"
"OK","40","Marshall","095"
"OK","40","Latimer","077"
"OK","40","Greer","055"
"OK","40","Woods","151"
"OR","41","Marion","047"
"OR","41","Tillamook","057"
"OR","41","Wasco","065"
"OR","41","Linn","043"
"OR","41","Gilliam","021"
"OR","41","Wallowa","063"
"OR","41","Deschutes","017"
"AL","01","Sumter","119"
"AR","05","Dallas","039"
"AR","05","Calhoun","013"
"AR","05","Little River","081"
"AR","05","Conway","029"
"ID","16","Washington","087"
"AR","05","Ashley","003"
"AR","05","Ouachita","103"
"AR","05","Clark","019"
"AR","05","Lafayette","073"
"AR","05","Independence","063"
"AR","05","Woodruff","147"
